id	name	add_name	description	popup	supercnt0	cnt0	set_ids[0]	set_ids[1]	set_ids[2]	set_ids[3]	set_ids[4]	set_bonus_desc	supercnt1	cnt1	set_extra_ids	set_extra_desc	unk1[0]	unk1[1]	unk1[2]	unk1[3]	unk1[4]	unk1[5]	unk1[6]	unk1[7]	unk1[8]	special_enchant_amount	special_enchant_desc	unk2
956	Scroll: Enchant Armor (D-Grade)		a,When enchanted, P. Def. increases by 1 for D-grade armor and accessories. Starting at +4, P. Def. increases by 3 and a HP bonus is granted. Enchanting is safe up to +3, but one-piece body armor can be safely enchanted up to +4.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
957	Crystal Scroll: Enchant Weapon (D-Grade)		a,A scroll of enchantment that empowers a D-Grade weapon.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
958	Crystal Scroll: Enchant Armor (D-Grade)		a,A scroll of enchantment that empowers a D-Grade armor.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
959	Scroll: Enchant Weapon (S-Grade)		a,When enchanted, P. Atk. increases by 5 for S-grade one-handed swords, one-handed blunts, daggers, spears, and other weapons. P. Atk. increases by 6 for two-handed swords, two-handed blunts, dualswords, and two-handed combat weapons. P. Atk. increases by 10 for bows. M. Atk. increases by 4 for all weapons. Starting at +4, P. Atk. / M. Atk. bonus double. Enchanting is safe up to +3.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
960	Scroll: Enchant Armor (S-Grade)		a,When enchanted, P. Def. increases by 1 for S-grade armor and accessories. Starting at +4, P. Def. increases by 3 and a HP bonus is granted. Enchanting is safe up to +3, but one-piece body armor can be safely enchanted up to +4.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
961	Crystal Scroll: Enchant Weapon (S-Grade)		a,A scroll of enchantment that empowers a S-Grade weapon.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
962	Crystal Scroll: Enchant Armor (S-Grade)		a,A scroll of enchantment that empowers a S-Grade armor\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
963	Orcish Arrowhead		a,An arrowhead that Turath orc marksmen use on Talking Island. Collect these and take to Master Minia.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
964	Alberius's Letter		a,A letter from Alberius. Take this to Master Cobendell.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
965	Evergreen Amulet		a,A necklace set with a green elemental stone. You must possess this to slay the dryad and obtain the dryad's tears.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
966	Dryad's Tears		a,A jewel that contains the essence of a dryad's soul. Gather ten of these and take them to Master Cobendell.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
967	Cobendell Medicine		a,Cobendell's medicine\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
968	Karrod's Letter		a,A letter written by Blacksmith Karrod. Take this to the Abyssal Celebrant Cecktinon in the Shilen Temple.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
969	Cecktinon's First Voucher		a,An introduction letter from the Abyssal Celebrant Cecktinon. Take this and seek Magister Harne in the village.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
970	Cecktinon's Second Voucher		a,An introduction letter from the Abyssal Celebrant Cecktinon. Go to the School of Dark Arts, hunt skeletons, and gather 10 bone fragments.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
971	Soul Catcher		a,An item used during the exorcism ritual to call upon a spirit of the dead. Take this to the Abyssal Celebrant Cecktinon.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
972	Preserving Oil		a,An oil that when used, prevents the rotting of corpses. Take this and go hunt zombies in the swamps.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
973	Zombie Head		a,The head of tree Elf zombies that have been cut after they are defeated. Take this to the abyssal celebrant Cecktinon.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
974	Steelbender Head		a,Please, I beg of you!  Don't take me to that brutal blacksmith!\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
976	1st Mark of Sentinel		a,A mark that certifies that its bearer is an Elven Sentinel. Destroy an orc Tanuki skullcrusher and report to Sentinel Kendell.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
977	2nd Mark of Sentinel		a,A mark that certifies that its bearer is an Elven Sentinel. Destroy an orc Bhato bloodspear and report to Sentinel Kendell.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
978	Skullcrusher Amulet		a,The amulet that represents the Skullcrusher Orc tribe. Take this to Sentinel Kendell.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
979	Bloodspear Amulet		a,The amulet that represents the Bloodspear Orc tribe. Take this to Sentinel Kendell.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
980	0		a,0\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
982	Esrandell's Letter		a,Esrandell's introduction\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
983	Kendell's Letter		a,Kendell's letter\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
984	1st Onyx Talisman		a,A necklace crafted of onyx. Take this to Abyssal Celebrant Kartia.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
985	2nd Onyx Talisman		a,A necklace crafted of onyx. Recover the original scrolls from the blackskull Orcs and bring them to Abyssal Celebrant Kartia.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
986	Ancient Scroll		a,An ancient scroll called Kaysha's Revelation. Take it along with the clay tablet to Abyssal Celebrant Kartia.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
987	Ancient Clay Tablet		a,An ancient clay tablet engraved with text. Take it along with the ancient scroll to Abyssal Celebrant Kartia.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
988	Kartia's Translation		a,Kartia's translation of Kaysha's Revelations. Take it to Tetrarch Thifiell.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1001	Book of Aklantoth - Part 4		a,	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1002	Book of Aklantoth - Part 5		a,	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1003	Book of Aklantoth - Part 6		a,	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1004	Book of Aklantoth - Part 7		a,	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1005	Book of Aklantoth - Part 8		a,	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1006	Book of Aklantoth - Part 9		a,	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1007	Book of Aklantoth - Part 10		a,	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1008	Harrys's 1st Receipt		a,A receipt Harrys received after ordering tools. Take this and go to Blacksmith Altran.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1009	Harrys's 2nd Receipt		a,The receipt that Harrys has received after placing an order for his tools. Go and gather golem shards needed for creating the tool.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1010	Golem Shard		a,Shards of rock that have fallen from the Golem's body. Gather 5 and take them to Blacksmith Altran.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1011	Tool Box		a,A toolbox containing the tools that Blacksmith Altran has forged. Take this to Magister Harrys at the temple.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1012	Delivery List		a,Take the heavy wooden box to Trader Jackson. The bolts of cloth to Trader Silvia. Take the clay pot to the warehouse keeper Rant.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1013	Heavy Wood Box		a,The wooden box to be delivered to Trader Jackson of the weapons shop.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1014	Cloth Bundle		a,Bolts of cloth that need to be delivered to Trader Silvia of the grocery store.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1015	Clay Pot		a,The clay pot that must be delivered to the warehouse keeper Rant.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1016	Jackson's Receipt		a,The receipt that Jackson has issued upon receiving his wooden box. Take this to Guard Arnold.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1017	Silvia's Receipt		a,The receipt that Silvia has issued upon receiving her bolts of cloth. Take this to Guard Arnold.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1018	Rant's Receipt		a,The receipt issued by Rant upon his receiving of the clay pot. Take this to Guard Arnold.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1019	Official Letter		a,An official letter that the Lord of Gludio has sent to Sir Colin Windawood, calling a meeting. Deliver this to Sir Windawood.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1020	Flame Shard		a,A fragment of soul ore of fire. Can be taken from the fire spirit salamander. Give it to Trader Katerina.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1021	Ice Shard		a,A fragment of elemental stone of water. Can be taken from the water spirit undine. Give to Trader Katerina.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1022	Lilith's Letter		a,A letter written by Lilith in longing for her lover, separated a thousand years ago. Find out news about her lover for her.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1023	Theon's Diary		a,A diary written by Theon in longing for his lover, separated a thousand years ago. Take this to Lilith.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1024	Adamantite Ore		a,Adamantite ore. All of it is imported from Gracia. Gather 20 of these and take them to Warehouse Keeper Wilford.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1025	Clay Tablet		a,A tablet praising Beleth that the devil Nerkas possessed. Deliver this to High Priest Biotin.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1026	Silvery Spidersilk		a,The spider silk of the silver spider. Take this to Trader Unoren of the weapons shop.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1027	Unoren's Receipt		a,The receipt issued by the magic shop. Take this and go to Trader Creamees.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1028	Creamees's Ticket		a,A ticket issued by the warehouse. Take this and go to Warehouse Keeper Julia.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1029	Nightshade Leaf		a,The leaf of the nightshade plant. Take this to Nerupa.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1030	Cracked Skull		a,The cracked skull of the Dark Horror. Take this to Magister Vlasty.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1031	Perfect Skull		a,Skull of the dark horror. Take this to Magister Vlasty.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1032	Fox Fur		a,A mane of keltirs. It is soft and luxurious, and used to spin thread and yarn. Take this to Cristel.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1033	Fox Fur Yarn		a,Yarn spun out of the fur of keltirs. Take this to the former tailor Warehouse Keeper Rolfe, and he will make it into the doll's hair.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1034	Maiden Doll		a,A doll resembling a Human maiden. Take this to Lighthouse Keeper Rockswell.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1035	Plague Dust		a,A powder obtained from the plague zombie. Take this to Hierarch Asterios.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1036	Andellia's Letter		a,A letter from Andellia asking her sister Thalia to send her the fruit of the Mother Tree.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1037	Fruit of the Mother Tree		a,Fruit that the Mother Tree bears once every few years. Take this to Andellia.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1038	Rumiel's 1st Poem		a,The scroll containing Rumiel Moonshine's first poem. Gather all four and take them to Sentinel Starden.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1039	Rumiel's 2nd Poem		a,The scroll containing Rumiel Moonshine's second poem. Gather all four and take them to Sentinel Starden.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1040	Rumiel's 3rd Poem		a,The scroll containing Rumiel Moonshine's third poem. Gather all four and take them to Sentinel Starden.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1041	Rumiel's 4th Poem		a,The scroll containing Rumiel Moonshine's fourth poem. Gather all four and take them to Sentinel Starden.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1042	Wererat's Fang		a,The fang of a dead ratman. Collect these to take to Master Ellenia.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1043	Varool Foulclaw's Fang		a,The fang of Varool Foulclaw, leader of the ratmen. Take this to Master Ellenia.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1044	Kirunak Skull		a,Kirunak's skull obtained after killing Kirunak, the leader of the drevanuls. Take this to Trader Creamees.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1045	Zombie's Skin		a,A skin obtained from marshland zombies. Collect five and go to Trader Minaless.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1046	Nightmare Crystal		a,A crystal used by the succubus Merkenis to cast nightmares. Take this to Tetrarch Vellior.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1047	Spellbook: Light		a,Spellbook needed to learn Light.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1048	Spellbook: Might		a,Spellbook needed to learn Might. Used by Human Mystics, Elven Mystics and Dark Mystics.\\nRequired level: 7\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1049	Spellbook: Ice Bolt		a,Spellbook needed to learn Ice Bolt. Used by Human Mystics, Elven Mystics and Dark Mystics.\\nRequired level: 7\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1050	Spellbook: Battle Heal		a,Spellbook needed to learn Battle Heal. Used by Human Mystics, Elven Mystics and Dark Mystics.\\nRequired level: 14\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1051	Spellbook: Vampiric Touch		a,Spellbook needed to learn Vampiric Touch. Used by Human Mystics and Dark Mystics.\\nRequired level: 14\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1052	Spellbook: Flame Strike		a,Spellbook needed to learn Flame Strike. Used by Human Wizards, Elven Wizards and Dark Wizards.\\nRequired level: 20\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1053	Spellbook: Cure Poison		a,Spellbook needed to learn Cure Poison. Used by Human Mystics, Elven Mystics and Dark Mystics.\\nRequired level: 7\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1054	Spellbook: Group Heal		a,Spellbook needed to learn Group Heal. Used by Human Mystics, Elven Mystics and Dark Mystics.\\nRequired level: 14\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1055	Spellbook: Curse: Poison		a,Spellbook needed to learn Curse: Poison. Used by Human Mystics and Dark Mystics.\\nRequired level: 7\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1056	Spellbook: Curse: Weakness		a,Spellbook needed to learn Curse: Weakness. Used by Human Mystics and Elven Mystics.\\nRequired level: 14\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1057	Spellbook: Summon Meal		a,Spellbook needed to learn Summon Meal. Used by Human Mystics and Elven Mystics.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1058	Spellbook: Shield		a,Spellbook needed to learn Shield. Used by Human Mystics, Elven Mystics and Dark Mystics.\\nRequired level: 7\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1059	Spellbook: Know Enemy		a,Spellbook needed to learn Know Enemy.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1060	Lesser Healing Potion		a,A magical potion that slowly restores HP. Low endurance.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1061	Greater Healing Potion		a,A magical potion that slowly restores HP. High endurance.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1062	Haste Potion		a,A magical potion that increases speed.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1063	Tutorial Parchment		a,Take the tutorial parchment to Grand Master Roien.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1064	Tutorial Parchment		a,Take the tutorial parchment to Grand Master Roien.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1065	Tutorial Parchment		a,Take the tutorial parchment to Nerupa.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1066	Tutorial Parchment		a,Take the tutorial parchment to Mitraell, the chief of Dark Elves.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1067	Recommendation		a,Take the recommendation to Grand Master Roien.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1068	Recommendation		a,Take the recommendation to Grand Magister Gallint.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1069	Leaf of the Mother Tree		a,Take the leaf of the Mother Tree to Nerupa.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1070	Blood of Mitraell		a,Take the blood of Mitraell to Hierarch Mitraell.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1071	Hyacinth Charm		a,A charm given by Hierarch Asterios. Go to the water source to seek those who pollute the waters of the Elven village.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1072	Hyacinth Charm		a,A charm given by Hierarch Asterios. Go to the water source and obtain five handfuls of plague dust from the zombies.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1073	Beginner's Potion		a,A magical potion that slowly restores HP. Low endurance.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1074	Boat Ticket: Talking Island to Gludin		a,Boat Ticket: Depart Talking Island - Arrive Gludin Harbor\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1075	Boat Ticket: Gludin to Talking Island		a,Boat Ticket: Depart Gludin Harbor - Arrive Talking Island\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1076	Carlon's Letter		a,First half year financial summary of the Iron Gate Guild: balance sheet and profit and loss statement of the Dark Elven Village guild.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1077	Venom Sac		a,A Giant Spider's Poison Sac of poisonous spider. Gather ten of these and take to Astaron.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1078	Wind Shard		a,A fragment of the elemental stone of wind. You can get them from Lirein, the wind spirits. Collect these to take to Rizraell.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1079	Darin's Receipt		a,A receipt for a magical potion Darin received after paying Baulro. This must be handed to Baulro.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1080	Baulro's Potion		a,A potion of courage that Baulro has created for the shy Darin, but its effects are unknown. This must be delivered to Darin.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1081	Omen Beast's Eye		a,The first of three materials Tetrarch Talloth asked you to collect.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1082	Taint Stone		a,The second of three materials Tetrarch Talloth asked you to collect.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1083	Succubus Blood		a,The third of three materials Tetrarch Talloth asked you to collect.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1084	Gludio Lord's Mark		a,A mark indicating that the bearer is carrying out the orders of the lord. Keep this in your possession and hunt Orcs or werewolves.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1085	Orc's Necklace		a,A bone necklace that Orc fighters possess on their bodies for magic purposes. Take this to Captain Gilbert.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1086	Werewolf's Fang		a,Fangs from a dead werewolf. Take this to Captain Gilbert.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1087	Giant Spider's Leg		a,The legs cut off from a giant spider. Collect 8 of these and take them to Alshupes.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1088	Undrias's Letter		a,Abyssal Celebrant Undrias's letter. Take this letter to Trader Iria, Warehouse Keeper Dorankus, and Master Trudy.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1089	Ceremonial Dagger		a,A ceremonial dagger used during the mass of darkness. Take this to Abyssal Celebrant Undrias.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1090	Dreviant Wine		a,Holy wine used in the mass of darkness. Take this to Abyssal Celebrant Undrias.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1091	Garmiel's Scripture		a,The scripture used during the mass of darkness. Take this to Abyssal Celebrant Undrias.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1092	Arujien's Letter		a,The letter that Arujien has written in longing for Greenis. Show this to Gatekeeper Mirabel.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1093	Arujien's Letter		a,The letter that Arujien has written in longing for Greenis. Show this to Trader Herbiel.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1094	Arujien's Letter		a,Arujien's love letter. Since you have shown this to Mirabel and Herbiel, you must go back to Arujien.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1095	Spellbook: Attack Aura		a,Spellbook needed to learn Attack Aura. Used by Elven Fighters and Dark Fighters.\\nRequired level: 10\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1096	Spellbook: Elemental Heal		a,Spellbook needed to learn Elemental Heal. Used by Elven Fighters.\\nRequired level: 15\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1097	Spellbook: Drain Health		a,Spellbook needed to learn Drain Health. Used by Knights and Dark Fighters.\\nRequired level: Dark Fighter - 15, Knight - 20\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1098	Spellbook: Wind Walk		a,Spellbook needed to learn Wind Walk. Used by Clerics, Elven Oracles and Shillien Oracles.\\nRequired level: 20\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1099	Spellbook: Wind Shackle		a,Spellbook needed to learn Wind Shackle. Used by Elven Mystics and Dark Mystics.\\nRequired level: 14\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1106	Norman's Letter		a,First half year financial summary of the Iron Gate guild: balance sheet and profit and loss statement of the Gludio region guild.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1107	Bone Fragment		a,Bone fragments of the undead skeletons. Collect ten of these and go back to Magister Harne.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1108	Arbon's Letter		a,	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1109	Roien's Letter		a,	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1110	Bone Fragment		a,	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1111	_		a,	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1112	Leaf of the Mother Tree		a,	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1113	Blood of Mitraell		a,	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1114	Orc Amulet		a,An amulet possessed by Kaboo Orcs for magic purposes. Take it to Sentinel Rayen.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1115	Orc's Necklace		a,A bone necklace possessed by Kaboo Orc fighters for magic purposes. Take it to Sentinel Rayen.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1116	Orc Amulet		a,An amulet that the balor Orcs possess for magical purposes. Take this to Sentry Kayleen.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1117	Orc's Necklace		a,A bone necklace that the balor Orc fighters carry for magical purposes. Take this to Sentry Kayleen.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1118	Spore Sac		a,A sac containing spore pollen. Give 10 spore sacs to Herbiel.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1130	Cobendell's Medicine		a,A fever medicine concocted by Master Cobendell.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1131	Cobendell's Medicine		a,A fever medicine concocted by Master Cobendell.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1132	Cobendell's Medicine		a,A fever medicine concocted by Master Cobendell.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
1133	Cobendell's Medicine		a,A fever medicine concocted by Master Cobendell.\0	-1	0	0						a,	0	0		a,	0	0	0	0	0	0	0	0	0	0	a,	1
